Entity,Year,Government expenditure per student (% of GDP per capita),GDP per capita (International Dollars $),Population,Continent
Afghanistan,2015,10.24688,2108.714,33753500,Asia
Afghanistan,2016,10.34081,2101.422,34636212,Asia
Afghanistan,2017,10.25174,2096.093,35643420,Asia
Albania,2015,29.84568,11880.598,2882482,Europe
Albania,2017,34.18148,12773.269,2879361,Europe
Argentina,2015,15.64309,23933.887,43257064,South America
Argentina,2016,15.2222,23189.527,43668236,South America
Argentina,2017,14.97726,23597.117,44054616,South America
Armenia,2015,10.994,11506.039,2878598,Asia
Armenia,2016,11.27122,11580.384,2865841,Asia
Armenia,2017,10.15365,12509.64,2851929,Asia
Australia,2015,18.78482,47567.68,23820240,Oceania
Australia,2016,19.30184,48109.203,24195706,Oceania
Austria,2015,23.20446,52873.86,8642422,Europe
Austria,2016,23.48041,53345.742,8736491,Europe
Bahrain,2015,11.16362,48453.727,1362157,Asia
Barbados,2016,20.75168,16156.518,278660,North America
Belgium,2015,22.03343,49456.4,11248306,Europe
Belgium,2016,21.87767,49829.926,11316837,Europe
Belize,2015,15.10773,9387.914,359884,North America
Belize,2016,16.23127,9208.114,367327,North America
Belize,2017,16.55987,8873.754,374702,North America
Benin,2015,10.25321,2849.8206,10932791,Africa
Bermuda,2015,8.05056,77842.75,63165,North America
Brazil,2015,20.05496,15011.577,205188208,South America
Brunei,2016,8.87354,59980.99,426001,Asia
Burkina Faso,2015,16.13029,1862.8547,18718022,Africa
Canada,2015,17.56737,47522.14,35732120,North America
Cape Verde,2015,16.62463,5955.607,552169,Africa
Cape Verde,2016,17.06822,6166.314,558399,Africa
Cape Verde,2017,16.65962,6320.3423,564959,Africa
Chile,2015,15.18748,24464.746,17870122,South America
Chile,2016,18.29521,24599.375,18083880,South America
Chile,2017,18.38536,24546.912,18368582,South America
Colombia,2015,17.41694,14215.688,47119728,South America
Colombia,2016,17.44523,14358.168,47625960,South America
Colombia,2017,17.84725,14334.915,48351668,South America
Colombia,2018,16.98989,14426.435,49276968,South America
Costa Rica,2015,26.71543,18956.191,4895241,North America
Costa Rica,2016,24.86943,19553.6,4945205,North America
Costa Rica,2017,22.2852,20168.22,4993849,North America
Costa Rica,2018,20.82721,20503.277,5040738,North America
Cote d'Ivoire,2015,13.78098,4347.778,23596738,Africa
Cote d'Ivoire,2016,15.7917,4541.195,24213620,Africa
Cote d'Ivoire,2017,13.17057,4750.9365,24848024,Africa
Cote d'Ivoire,2018,13.27872,4949.6147,25493990,Africa
Cyprus,2015,32.18788,34573.973,1187286,Europe
Cyprus,2016,31.88086,36678.098,1197889,Europe
Czechia,2015,14.94718,36168.418,10523801,Europe
Czechia,2016,13.8679,37014.96,10527584,Europe
Djibouti,2016,37.32327,4291.2974,1023269,Africa
Dominica,2015,14.64306,12063.8955,70027,North America
Dominican Republic,2015,14.92318,15145.47,10405832,North America
Dominican Republic,2016,15.80752,15967.202,10527589,North America
Dominican Republic,2017,14.61223,16524.533,10647247,North America
Dominican Republic,2018,16.18636,17484.121,10765532,North America
Ecuador,2015,9.43166,11908.216,16195904,South America
Ecuador,2016,9.51098,11587.825,16439588,South America
Egypt,2017,9.84518,10435.917,101789384,Africa
El Salvador,2015,13.55766,8266.723,6231072,North America
El Salvador,2016,16.15496,8450.251,6250513,North America
El Salvador,2017,16.03698,8617.922,6266661,North America
El Salvador,2018,16.10453,8812.201,6276340,North America
Estonia,2015,19.99539,31038.805,1314658,Europe
Estonia,2016,20.29085,32008.934,1315928,Europe
Ethiopia,2015,7.87686,1750.6727,102471896,Africa
Finland,2015,21.99535,45072.59,5479457,Europe
Finland,2016,21.50883,46206.79,5495217,Europe
France,2015,17.53958,43345.785,63809768,Europe
France,2016,17.3647,43705.15,63989320,Europe
Gambia,2015,8.47324,1905.823,2253137,Africa
Germany,2015,17.50845,51159.297,82073232,Europe
Germany,2016,17.44257,51879.67,82331432,Europe
Greece,2015,20.20131,28260.387,10806644,Europe
Greece,2016,20.26908,28239.92,10749742,Europe
Grenada,2017,8.17698,14869.982,120934,North America
Guatemala,2015,10.06501,8125.656,16001105,North America
Guatemala,2016,11.08353,8206.048,16291004,North America
Guatemala,2017,11.36856,8322.217,16578718,North America
Guatemala,2018,11.88315,8469.115,16850176,North America
Guinea,2016,6.81269,2217.1094,11930991,Africa
Hong Kong,2015,14.85107,57214.69,7399845,Asia
Hong Kong,2016,15.024,58098.395,7435925,Asia
Hong Kong,2017,14.94539,59842.215,7461508,Asia
Hong Kong,2018,14.82783,61055.34,7481563,Asia
Hungary,2015,18.67208,27528.307,9844250,Europe
Hungary,2016,19.06479,28217.354,9815106,Europe
Iceland,2015,22.79978,52142.934,331068,Europe
Iceland,2016,22.10298,54665.766,335677,Europe
Indonesia,2015,13.28127,10121.841,259091968,Asia
Iran,2015,7.55314,14010.858,81790848,Asia
Iran,2016,9.52057,14968.595,83306232,Asia
Iran,2017,11.11757,15163.292,84505080,Asia
Ireland,2015,11.83086,71490.805,4665764,Europe
Ireland,2016,11.84396,72106.8,4715791,Europe
Israel,2015,21.34266,37321.016,8007777,Asia
Israel,2016,21.53058,38251.297,8159015,Asia
Italy,2015,21.73441,40247.83,60232908,Europe
Italy,2016,19.52238,40837.74,60118628,Europe
Jamaica,2015,22.17824,9800.507,2794455,North America
Jamaica,2016,21.77293,9906.04,2802699,Africa
Jamaica,2017,23.44592,9984.577,2808388,Africa
Jamaica,2018,21.68464,10160.764,2811842,Africa
Japan,2016,21.78104,40727.97,126993856,Asia
Jordan,2016,14.87272,9633.101,9964659,Asia
Jordan,2017,13.53875,9629.103,10215384,Asia
Jordan,2018,13.30793,9584.507,10459864,Asia
Kazakhstan,2017,0.26455,24862.967,18314822,Asia
Kazakhstan,2018,0.23507,25544.346,18538100,Asia
Kenya,2015,10.95105,4163.925,46851496,Africa
Latvia,2015,26.76693,26628.355,1991951,Europe
Latvia,2016,24.50426,27509.336,1973477,Europe
Lesotho,2018,20.7122,2541.4526,2198030,Africa
Liberia,2015,3.94327,1581.055,4612330,Africa
Liberia,2016,14.49935,1525.458,4706106,Africa
Lithuania,2015,18.59952,30748.197,2963764,Europe
Lithuania,2016,19.49595,31925.803,2933676,Europe
Luxembourg,2015,19.6895,113182.73,569415,Europe
Malawi,2015,9.55053,1440.8423,16938944,Africa
Malawi,2016,8.15872,1437.0417,17405624,Africa
Malaysia,2015,16.07894,24151.26,31068834,Asia
Malaysia,2016,16.12796,24859.799,31526414,Asia
Malaysia,2017,16.13708,25935.143,31975812,Asia
Maldives,2015,18.69794,18051.07,435590,Asia
Maldives,2016,16.07814,18406.268,454263,Asia
Mali,2015,13.43451,2060.0986,18112910,Africa
Mali,2016,9.34227,2112.187,18700108,Africa
Mali,2017,12.3362,2153.8457,19311356,Africa
Malta,2015,22.83451,39903.938,456585,Europe
Mauritania,2015,9.59914,5151.9,3946225,Africa
Mauritania,2016,10.18348,5080.809,4051896,Africa
Mauritius,2015,12.51795,20549.629,1293159,Africa
Mauritius,2016,14.08182,21328.688,1293909,Africa
Mauritius,2017,15.73389,22148.625,1294743,Africa
Mauritius,2018,15.56837,23023.5,1295386,Africa
Mexico,2015,14.4207,19542.89,120149896,North America
Mexico,2016,13.78185,19830.963,121519224,North America
Moldova,2015,34.82502,10355.539,3277390,Europe
Moldova,2016,32.54519,10938.585,3225125,Europe
Moldova,2017,32.53601,11651.187,3180515,Europe
Moldova,2018,32.53494,12367.764,3141839,Europe
Mongolia,2015,13.1827,11134.802,2964756,Asia
Mongolia,2016,16.58952,11058.95,3029559,Asia
Mongolia,2017,14.10634,11431.498,3096033,Asia
Myanmar,2017,7.66681,4312.9473,52288344,Asia
Myanmar,2018,7.81464,4556.2812,52666016,Asia
Nepal,2015,12.35956,3260.035,27610328,Asia
Netherlands,2015,16.84558,52974.117,17041110,Europe
Netherlands,2016,16.66924,53847.83,17124512,Europe
New Zealand,2015,18.34146,41020.312,4590591,Oceania
New Zealand,2016,20.32099,41620.348,4668088,Oceania
Niger,2015,22.53418,1124.41,20128132,Africa
Niger,2016,16.47221,1143.8607,20921748,Africa
Niger,2017,13.30223,1155.9735,21737924,Africa
Norway,2015,21.50107,62987.516,5190357,Europe
Norway,2016,21.70425,63104.082,5236591,Europe
Oman,2016,31.77481,35229.953,4398080,Asia
Pakistan,2015,8.09756,4552.6055,210969296,Asia
Paraguay,2016,11.67423,13163.74,6266623,South America
Peru,2015,12.56451,12015.1875,30711864,South America
Peru,2016,11.48576,12321.318,31132776,South America
Peru,2017,11.69517,12442.746,31605488,South America
Peru,2018,11.22288,12696.236,32203946,South America
Poland,2015,23.84992,27667.69,38553148,Europe
Poland,2016,23.08263,28497.104,38532108,Europe
Portugal,2015,22.50957,31118.791,10365436,Europe
Romania,2015,8.65312,23937.46,19906078,Europe
Romania,2016,7.82649,24763.135,19797820,Europe
Rwanda,2015,5.54209,1844.7169,11642963,Africa
Rwanda,2016,5.47035,1907.6816,11930902,Africa
Rwanda,2018,4.25557,2050.441,12531810,Africa
Saint Kitts and Nevis,2015,5.22032,28219.11,47814,North America
Saint Lucia,2015,15.94346,14339.109,175638,North America
Saint Lucia,2016,16.48968,14810.637,176429,North America
Saint Lucia,2017,15.91189,15247.459,177175,North America
Saint Lucia,2018,14.70984,15622.778,177894,North America
Saint Vincent and the Grenadines,2015,16.7271,12762.135,106493,North America
Saint Vincent and the Grenadines,2016,17.94852,13356.81,105971,North America
Saint Vincent and the Grenadines,2017,17.84389,13633.048,105568,North America
Saint Vincent and the Grenadines,2018,17.50517,14084.938,105297,North America
Samoa,2016,8.96586,6214.715,205559,Oceania
Senegal,2015,13.74234,3012.3833,14356191,Africa
Senegal,2016,11.80185,3118.4236,14751356,Africa
Senegal,2018,10.90433,3368.8586,15574910,Africa
Serbia,2015,43.65488,15581.014,7519501,Europe
Seychelles,2016,14.19805,27234.414,100521,Africa
Sierra Leone,2016,5.66124,1566.8431,7493918,Africa
Sierra Leone,2017,4.75965,1593.4835,7677570,Africa
Sierra Leone,2018,12.36935,1610.1619,7861287,Africa
Singapore,2017,17.51811,95310.336,5764489,Asia
Slovakia,2015,21.6772,28728.156,5424449,Europe
Slovakia,2016,20.8158,29248.885,5431205,Europe
Slovenia,2015,24.55179,33799.727,2080865,Europe
Slovenia,2016,23.5703,34853.043,2090020,Europe
South Africa,2017,17.6493,13950.453,56641208,Africa
South Africa,2018,17.94111,13990.314,57339632,Africa
South Korea,2016,27.84732,39814.66,51309984,Asia
Spain,2015,17.27588,37373.95,46431344,Europe
Spain,2016,17.11832,38476.79,46473320,Europe
Sri Lanka,2015,7.43956,12420.553,21336692,Asia
Sri Lanka,2016,14.4145,12904.854,21425494,Asia
Sri Lanka,2017,11.39277,13584.193,21506816,Asia
Sri Lanka,2018,7.91881,13753.055,21580712,Asia
Sweden,2015,21.33574,50928.965,9849344,Europe
Sweden,2016,21.74093,51334.434,9953322,Europe
Switzerland,2015,24.56797,68159.22,8281735,Europe
Switzerland,2016,24.78876,68813.64,8372902,Europe
Togo,2015,16.09805,1881.9052,7473232,Africa
Togo,2016,16.16121,1937.7426,7661361,Africa
Turkey,2015,14.38743,25594.66,79646176,Asia
Turkey,2016,12.99947,25996.967,81019400,Europe
Turks and Caicos Islands,2015,15.64521,26284.723,36556,North America
Turks and Caicos Islands,2018,5.7043,25567.918,41516,North America
Ukraine,2016,26.25312,11536.316,44833568,Europe
Ukraine,2017,30.31566,11860.561,44657260,Europe
United Kingdom,2015,24.97949,44948.336,65224368,Europe
United Kingdom,2016,24.17334,45574.848,65655204,Europe
United States,2015,19.76064,58427.55,324607776,North America
United States,2016,19.85908,58972.902,327210208,North America
Uruguay,2016,12.39083,22793.07,3413768,South America
Uruguay,2017,12.64033,23106.998,3422205,South America
Vanuatu,2015,13.5286,2859.3496,276450,Oceania
Zambia,2015,14.32072,3365.3792,16248231,Africa
Zambia,2016,12.91385,3384.268,16767758,Africa
Zambia,2017,12.88822,3395.4797,17298056,Africa